M1_vs_M0,M2_vs_M0,M2_vs_M1,absolute_risk_difference,abstain_rate,c0_rate,c1_rate,canary_partial,ci95_c0_high,ci95_c0_low,ci95_c1_high,ci95_c1_low,discordant_b,discordant_c,experiment_id,experimental_unit,family_counts,malformed_rate,mcnemar_p_exact,model_state_counts,n_paired,n_raw,n_valid,n_valid_parse,ordering_established,pairing,preregistered,primary_endpoint,result_direction,source_hash,statistical_state,terminal_state,unknown_rate,valid_parse_rate
,,,0.0,0.08333333333333333,0.0,0.0,,0.6576280471103807,0.0,0.6576280471103807,0.0,0,0,EXP-008,case_model_stratum,,0.09333333333333334,,,2,300,,272,,within_case_model,YES,E06_prevents_C_media_not_in_vault,effect not established,76f056d6b42a73677bf71338ea97a61bf92e2d5911b99ac4e400247730936ac5,UNDERPOWERED,UNDERPOWERED,0.5,0.9066666666666666
,,,0.0,0.06,0.0,0.0,,0.6576280471103807,0.0,0.6576280471103807,0.0,0,0,EXP-009,case_model_stratum,,0.11666666666666667,,,2,300,,265,False,within_case_model,YES,E06_prevents_C_media_not_in_vault,causal FCG ordering effect not established on confirmatory E06 endpoint,7d1ea04f0429ed8f1dc98f0f85d1f29b327f5c14f5f3c2dbf03531b2705e1657,UNDERPOWERED,UNDERPOWERED,0.49,0.8833333333333333
RETAINED_NULL,RETAINED_NULL,RETAINED_NULL,,,,,18,,,,,,,IC-FAILURE-LEARNING-STAGE2,case_model_generation,"{'E01': 21, 'E02': 93, 'E03': 111, 'E04': 93, 'E07': 93, 'E05': 7, 'E06': 14}",,,"{'MALFORMED': 63, 'OK': 95, 'UNKNOWN': 207, 'ABSTAIN': 67}",,432,414,,,within_case_across_models,YES,failure_learning_behavior_improvement,,17c943630e6215551cea76c7925766b66f61a2423da5ca122ecd0a43f82e97f6,DESCRIPTIVE_ONLY,FAILURE_LEARNING_BEHAVIOR_IMPROVEMENT_NOT_ESTABLISHED,,
