c1_rate,ordering_established,c0_rate,source_hash,terminal_state,pairing,absolute_risk_difference,malformed_rate,valid_parse_rate,family_counts,canary_partial,ci95_c1_high,discordant_c,M2_vs_M0,ci95_c0_low,unknown_rate,experimental_unit,primary_endpoint,result_direction,n_raw,n_valid_parse,preregistered,statistical_state,n_valid,discordant_b,mcnemar_p_exact,n_paired,abstain_rate,M1_vs_M0,ci95_c0_high,ci95_c1_low,M2_vs_M1,experiment_id,model_state_counts
0.0,,0.0,76f056d6b42a73677bf71338ea97a61bf92e2d5911b99ac4e400247730936ac5,UNDERPOWERED,within_case_model,0.0,0.09333333333333334,0.9066666666666666,,,0.6576280471103807,0,,0.0,0.5,case_model_stratum,E06_prevents_C_media_not_in_vault,effect not established,300,272,YES,UNDERPOWERED,,0,,2,0.08333333333333333,,0.6576280471103807,0.0,,EXP-008,
0.0,False,0.0,7d1ea04f0429ed8f1dc98f0f85d1f29b327f5c14f5f3c2dbf03531b2705e1657,UNDERPOWERED,within_case_model,0.0,0.11666666666666667,0.8833333333333333,,,0.6576280471103807,0,,0.0,0.49,case_model_stratum,E06_prevents_C_media_not_in_vault,causal FCG ordering effect not established on confirmatory E06 endpoint,300,265,YES,UNDERPOWERED,,0,,2,0.06,,0.6576280471103807,0.0,,EXP-009,
,,,17c943630e6215551cea76c7925766b66f61a2423da5ca122ecd0a43f82e97f6,FAILURE_LEARNING_BEHAVIOR_IMPROVEMENT_NOT_ESTABLISHED,within_case_across_models,,,,"{'E01': 21, 'E02': 93, 'E03': 111, 'E04': 93, 'E07': 93, 'E05': 7, 'E06': 14}",18,,,RETAINED_NULL,,,case_model_generation,failure_learning_behavior_improvement,,432,,YES,DESCRIPTIVE_ONLY,414,,,,,RETAINED_NULL,,,RETAINED_NULL,IC-FAILURE-LEARNING-STAGE2,"{'MALFORMED': 63, 'OK': 95, 'UNKNOWN': 207, 'ABSTAIN': 67}"
